id,symptom,question,answer,recommend_supplement,recommend_action
1,피로감,아침에 일어나도 계속 피곤한데 어떤 영양제가 도움될까요?,에너지 대사에 필요한 비타민B군과 마그네슘이 부족할 수 있습니다. 또한 미토콘드리아 기능 저하가 만성 피로의 원인이 될 수 있습니다.,"철분, 비타민C",수면 7~8시간 유지
2,피로감,오후만 되면 기력이 떨어지는데 개선 방법이 있을까요?,근육 회복과 에너지 생성을 돕는 코엔자임Q10과 L-카르니틴이 도움이 됩니다. 충분한 수면과 규칙적인 운동도 중요합니다.,"비타민B콤플렉스, 비타민C, 아연","햇빛 20분, 카페인 줄이기"
3,피로감,운동 후 회복이 너무 느린 것 같아요. 어떤 보충제가 좋을까요?,철분 부족으로 인한 산소 운반 능력 저하가 피로의 원인일 수 있습니다. 비타민C와 함께 섭취하면 흡수율이 높아집니다.,"마그네슘, 비타민B콤플렉스","수면 7~8시간 유지, 햇빛 20분"
4,피로감,만성 피로로 일상생활이 힘든데 어떻게 해야 하나요?,에너지 대사에 필요한 비타민B군과 마그네슘이 부족할 수 있습니다. 또한 미토콘드리아 기능 저하가 만성 피로의 원인이 될 수 있습니다.,"철분, 비타민B콤플렉스, 코엔자임Q10",규칙적인 운동 30분
5,피로감,충분히 자도 피곤한 이유가 뭘까요?,근육 회복과 에너지 생성을 돕는 코엔자임Q10과 L-카르니틴이 도움이 됩니다. 충분한 수면과 규칙적인 운동도 중요합니다.,"마그네슘, 비타민D","햇빛 20분, 수면 7~8시간 유지"
6,피로감,업무 중 집중력이 떨어지고 피곤해요.,철분 부족으로 인한 산소 운반 능력 저하가 피로의 원인일 수 있습니다. 비타민C와 함께 섭취하면 흡수율이 높아집니다.,"코엔자임Q10, 비타민C, 비타민B콤플렉스","카페인 줄이기, 규칙적인 운동 30분"
7,피로감,피로 회복에 도움되는 영양제 추천 부탁드립니다.,에너지 대사에 필요한 비타민B군과 마그네슘이 부족할 수 있습니다. 또한 미토콘드리아 기능 저하가 만성 피로의 원인이 될 수 있습니다.,"비타민C, 철분",햇빛 20분
8,피로감,아침에 일어나도 계속 피곤한데 어떤 영양제가 도움될까요?,근육 회복과 에너지 생성을 돕는 코엔자임Q10과 L-카르니틴이 도움이 됩니다. 충분한 수면과 규칙적인 운동도 중요합니다.,"철분, 코엔자임Q10, 비타민B콤플렉스","수면 7~8시간 유지, 규칙적인 운동 30분"
9,피로감,오후만 되면 기력이 떨어지는데 개선 방법이 있을까요?,철분 부족으로 인한 산소 운반 능력 저하가 피로의 원인일 수 있습니다. 비타민C와 함께 섭취하면 흡수율이 높아집니다.,"코엔자임Q10, L-카르니틴, 비타민D",스트레칭
10,피로감,운동 후 회복이 너무 느린 것 같아요. 어떤 보충제가 좋을까요?,에너지 대사에 필요한 비타민B군과 마그네슘이 부족할 수 있습니다. 또한 미토콘드리아 기능 저하가 만성 피로의 원인이 될 수 있습니다.,"L-카르니틴, 아연",카페인 줄이기
11,피로감,만성 피로로 일상생활이 힘든데 어떻게 해야 하나요?,근육 회복과 에너지 생성을 돕는 코엔자임Q10과 L-카르니틴이 도움이 됩니다. 충분한 수면과 규칙적인 운동도 중요합니다.,"아연, L-카르니틴","스트레칭, 햇빛 20분"
12,피로감,충분히 자도 피곤한 이유가 뭘까요?,철분 부족으로 인한 산소 운반 능력 저하가 피로의 원인일 수 있습니다. 비타민C와 함께 섭취하면 흡수율이 높아집니다.,"아연, 코엔자임Q10",카페인 줄이기
13,피로감,업무 중 집중력이 떨어지고 피곤해요.,에너지 대사에 필요한 비타민B군과 마그네슘이 부족할 수 있습니다. 또한 미토콘드리아 기능 저하가 만성 피로의 원인이 될 수 있습니다.,"비타민B콤플렉스, 아연, L-카르니틴",수면 7~8시간 유지
14,피로감,피로 회복에 도움되는 영양제 추천 부탁드립니다.,근육 회복과 에너지 생성을 돕는 코엔자임Q10과 L-카르니틴이 도움이 됩니다. 충분한 수면과 규칙적인 운동도 중요합니다.,"L-카르니틴, 비타민C, 비타민B콤플렉스","스트레칭, 수면 7~8시간 유지"
15,피로감,아침에 일어나도 계속 피곤한데 어떤 영양제가 도움될까요?,철분 부족으로 인한 산소 운반 능력 저하가 피로의 원인일 수 있습니다. 비타민C와 함께 섭취하면 흡수율이 높아집니다.,"아연, 비타민C, 코엔자임Q10","규칙적인 운동 30분, 카페인 줄이기"
16,두통,편두통이 자주 발생하는데 완화 방법이 있을까요?,"긴장성 두통은 마그네슘 부족과 관련이 있으며, 혈관 확장으로 인한 편두통은 리보플라빈과 코큐텐이 도움이 됩니다.","코큐텐, 리보플라빈(B2)",규칙적인 휴식
17,두통,목과 어깨 결림으로 두통이 생기는데 어떻게 해야 하나요?,목과 어깨 근육 긴장으로 인한 두통은 마그네슘 보충과 스트레칭으로 완화될 수 있습니다.,"리보플라빈(B2), 은행잎추출물, 마그네슘",온찜질
18,두통,긴장성 두통으로 고생 중인데 도움될 영양제가 있나요?,뇌혈류 개선을 위한 은행잎 추출물과 오메가3가 두통 빈도를 줄이는 데 도움이 됩니다.,"코큐텐, 리보플라빈(B2)","규칙적인 휴식, 블루라이트 차단"
19,두통,컴퓨터 작업 후 머리가 아픈데 예방할 수 있나요?,"긴장성 두통은 마그네슘 부족과 관련이 있으며, 혈관 확장으로 인한 편두통은 리보플라빈과 코큐텐이 도움이 됩니다.","리보플라빈(B2), 코큐텐, 마그네슘","규칙적인 휴식, 충분한 수분 섭취"
20,두통,스트레스 받으면 두통이 심해지는데 관리 방법 알려주세요.,목과 어깨 근육 긴장으로 인한 두통은 마그네슘 보충과 스트레칭으로 완화될 수 있습니다.,"오메가3, 코큐텐",온찜질
21,두통,두통약을 자주 먹는데 다른 방법이 없을까요?,뇌혈류 개선을 위한 은행잎 추출물과 오메가3가 두통 빈도를 줄이는 데 도움이 됩니다.,"리보플라빈(B2), 코큐텐","규칙적인 휴식, 충분한 수분 섭취"
22,두통,날씨 변화에 두통이 생기는데 왜 그런가요?,"긴장성 두통은 마그네슘 부족과 관련이 있으며, 혈관 확장으로 인한 편두통은 리보플라빈과 코큐텐이 도움이 됩니다.","은행잎추출물, 리보플라빈(B2)","규칙적인 휴식, 충분한 수분 섭취"
23,두통,편두통이 자주 발생하는데 완화 방법이 있을까요?,목과 어깨 근육 긴장으로 인한 두통은 마그네슘 보충과 스트레칭으로 완화될 수 있습니다.,"리보플라빈(B2), 마그네슘","규칙적인 휴식, 블루라이트 차단"
